Date,Market,Type,Price,Amount,Total,Fee,Fee Coin
2017-12-28 15:34:43,ADA/BTC,BUY,0.00002737,58,0.00158746,0.058,ADA
2017-12-28 15:19:17,NEO/BTC,BUY,0.004321,0.5,0.0021605,0.0005,NEO
2017-12-28 15:19:07,ADA/BTC,BUY,0.00002739,50,0.0013695,0.05,ADA
2017-12-28 15:16:01,XMR/BTC,BUY,0.02441,0.05,0.0012205,0.00005,XMR
2017-12-22 03:07:09,TRX/BTC,BUY,0.00000263,400,0.001052,0.4,TRX
2017-12-22 03:05:23,ENJ/BTC,BUY,0.0000061,165,0.0010065,0.165,ENJ
2017-12-22 03:04:41,LEND/BTC,BUY,0.00000382,275,0.0010505,0.275,LEND
2017-12-22 03:02:55,MTH/BTC,BUY,0.00001082,100,0.001082,0.1,MTH
2017-12-22 03:02:21,LRC/BTC,BUY,0.00002191,50,0.0010955,0.05,LRC
2017-12-22 03:00:50,XVG/BTC,BUY,0.00000734,150,0.001101,0.15,XVG
2017-12-21 23:47:55,XRP/ETH,BUY,0.00140897,35,0.04931395,0.035,XRP
2017-12-20 03:46:07,BQX/BTC,BUY,0.00011487,20,0.0022974,0.02,BQX
2017-12-20 02:26:12,XRP/BTC,BUY,0.00004238,70,0.0029666,0.07,XRP
